,Country Name,Confirmed,bevestigd per 1M inwoners
3312,Grenada,7,62.80618012812461
3313,Guatemala,25,1.449459632752152
3314,Guinea,4,0.322208598168663
3315,Guinea-Bissau,2,1.0670599138135708
3316,Guyana,5,6.418452280090988
3317,Haiti,8,0.719219043194138
3319,Honduras,52,5.423716368004162
3320,Hungary,261,26.71775456210778
3321,Iceland,802,2268.266331800415
3322,India,727,0.5374764798222369
3323,Indonesia,893,3.3362793838463594
3325,Iraq,382,9.939219849298532
3326,Ireland,1819,374.7806225025785
3327,Israel,2693,303.13604538598344
3328,Italy,80589,1333.5642733251252
3329,Jamaica,26,8.859040736254432
3330,Japan,1387,10.961905205996091
3331,Jordan,212,21.293668719329457
3332,Kazakhstan,111,6.073373242873266
3333,Kenya,31,0.60319487027516
3335,Kosovo,71,38.47612854278437
3336,Kuwait,208,50.27422413941042
3339,Latvia,244,126.65179373198197
3340,Lebanon,368,53.731059983866075
3341,Liberia,3,0.6225387670453708
3342,Libya,1,0.1497327196088622
3343,Liechtenstein,56,1477.1828013716697
3344,Lithuania,299,107.18640001749397
3345,Luxembourg,1453,2390.872232314456
3346,Madagascar,23,0.8757778430338041
3347,Malaysia,2031,64.41773393890021
3348,Maldives,13,25.208650057398156
3349,Mali,4,0.20966899032325192
3350,Malta,134,277.1286166318532
3351,Mauritania,3,0.681304261626287
3352,Mauritius,81,64.01628700793407
3353,Mexico,475,3.7641416424152925
3354,Moldova,177,49.91704464022079
3355,Monaco,33,853.1099736311462
3356,Mongolia,11,3.4698038740675687
3357,Montenegro,69,110.87097992271167
3358,Morocco,275,7.632711057366956
3359,Mozambique,7,0.2373206203615261
3360,Namibia,8,3.2676334777218874
3361,Nepal,3,0.1068076679788226
3362,Netherlands,7431,431.25719160975814
3363,New Zealand,283,57.926517244908396
3364,Nicaragua,2,0.30933353625613313
3365,Niger,10,0.4455742623473529
3366,Nigeria,65,0.3318447289323779
3367,North Macedonia,201,96.49738496887599
3368,Norway,3369,633.9456142780584
3369,Oman,109,22.569703630802717
3370,Pakistan,1201,5.659354099471654
3371,Panama,558,133.59276185797367
3372,Papua New Guinea,1,0.11619373492676774
3373,Paraguay,41,5.894131902908985
3374,Peru,580,18.131087512632366
3375,Philippines,707,6.629041340670823
3376,Poland,1221,32.149728315047746
3377,Portugal,3544,344.6880019202934
3378,Qatar,549,197.36295766906076
3379,Romania,1029,52.83985733546624
3381,Rwanda,50,4.06439992914938
3385,San Marino,208,6156.578363178925
3386,Saudi Arabia,1012,30.029720818255292
3387,Senegal,105,6.622783890362021
3388,Serbia,384,54.99790606930538
3389,Seychelles,7,72.34244848184204
3390,Singapore,683,121.12772572852208
3392,Slovenia,562,271.8427065859458
3393,Somalia,2,0.13326089271205507
3394,South Africa,927,16.04371866607227
3395,Spain,57786,1236.7586342440115
3396,Sri Lanka,106,4.8915551453622514
3397,Sudan,3,0.07176770287348075
3398,Suriname,8,13.889105906168671
3399,Sweden,2840,278.89140665853233
3400,Switzerland,11811,1386.830313661306
3403,Tanzania,13,0.23083063444971788
3404,Thailand,1045,15.05145061127902
3405,Timor-Leste,1,0.7886609483490171
3406,Togo,23,2.9154171569003995
3407,Trinidad and Tobago,65,46.76736760158232
3408,Tunisia,197,17.03385430987642
3409,Turkey,3629,44.08421000050972
3410,Uganda,14,0.32769127755336513
3411,Ukraine,196,4.39240136078387
3412,United Arab Emirates,333,34.575996014519426
3413,United Kingdom,11658,175.33729756855539
3414,Uruguay,217,62.91133357821401
3415,Uzbekistan,75,2.275803055038021
3417,Vietnam,153,1.6014168666562452
3418,West Bank and Gaza,84,18.384416843014808
3419,Zambia,16,0.9220933686387517
3420,Zimbabwe,3,0.20777036222269407
